2022/03/05 21:42;Amarelo;
2021/09/05 10:42;Amarelo;
2020/06/13 10:42;Verde;

2014-08-12 11:14:54am;vermelha;
2014-08-12 11:14:54am;vermelha;
2014-08-12 11:14:54am;verde;
2014-08-12 11:14:54am;amarela;
2014-08-12 11:14:54am;vermelha;
2014-08-12 11:14:54am;verde;
2014-08-12 11:14:54am;amarela;
2014-08-12 11:14:54am;vermelha;
2014-08-12 11:14:54am;verde;
2014-08-12 11:14:54am;amarela;
2014-08-12 11:14:54am;vermelha;
2014-08-12 11:14:54am;verde;
2014-08-12 11:14:54am;amarela;
2014-08-12 11:14:54am;vermelha;
2022-06-04 14:54:52;verde;
2022-06-04 14:54:59;amarela;
2022-06-04 14:55:11;vermelha;
2022-06-04 15:10:35;verde;
2022-06-04 15:14:19;amarela;
2022-06-04 15:14:22;vermelha;
2022-06-04 15:14:42;verde;
2022-06-04 15:14:45;amarela;
2022-06-04 15:14:47;vermelha;
2022-06-04 15:14:50;verde;
2022-06-04 15:14:53;amarela;
2022-06-04 15:16:44;vermelha;
2022-06-04 20:35:38;verde;
2022-06-04 20:35:39;amarela;
2022-06-04 20:35:39;vermelha;
2022-06-04 20:35:40;verde;
2022-06-04 20:35:41;amarela;
2022-06-04 20:35:41;vermelha;
2022-06-04 20:35:42;verde;
2022-06-04 20:46:04;amarela;
2022-06-04 20:46:05;vermelha;
2022-06-04 20:46:06;verde;
2022-06-04 20:46:06;amarela;
2022-06-04 20:46:07;vermelha;
2022-06-04 20:46:09;verde;
2022-06-04 20:46:11;amarela;
2022-06-04 20:46:12;vermelha;
2022-06-04 20:56:00;verde;
2022-06-04 20:56:02;amarela;
2022-06-06 08:56:55;verde;
2022-06-06 08:56:56;verde;
2022-06-06 09:00:24;amarela;
2022-06-06 09:00:25;verde;
2022-06-06 09:00:26;amarela;
2022-06-06 09:00:26;verde;
2022-06-06 09:00:27;amarela;
2022-06-06 09:00:28;verde;
2022-06-06 09:00:41;amarela;
2022-06-06 09:00:41;vermelha;
2022-06-06 09:00:42;verde;
2022-06-06 09:09:00;amarela;
2022-06-06 09:09:01;vermelha;
2022-06-08 15:34:08;verde;
2022-06-08 15:34:08;amarela;
2022-06-08 15:34:09;vermelha;
2022-06-08 15:34:09;verde;
2022-06-08 15:34:10;amarela;
2022-06-08 15:34:13;vermelha;
2022-06-08 15:34:15;verde;
2022-06-08 17:35:22;amarela;
2022-06-08 17:35:23;vermelha;
2022-06-08 17:35:23;verde;
2022-06-12 10:09:17;amarela;
2022-06-12 10:09:18;vermelha;
2022-06-12 10:09:20;verde;
2022-06-13 15:35:23;amarela;
2022-06-13 15:35:25;vermelha;
2022-06-13 15:35:26;verde;
2022-06-13 15:37:08;amarela;
2022-06-13 15:37:09;vermelha;
2022-06-13 15:37:14;verde;
2022-06-13 15:37:17;amarela;
2022-06-13 15:37:19;vermelha;
2022-06-13 15:44:05;verde;
2022-06-13 15:44:07;amarela;
2022-06-13 15:44:07;vermelha;
2022-06-13 15:44:08;verde;
2022-06-13 15:45:41;amarela;
2022-06-13 15:45:44;vermelha;
2022-06-13 15:45:47;verde;
2022-06-13 16:54:15;amarela;
2022-06-13 16:54:16;vermelha;
2022-06-13 16:54:17;verde;
2022-06-13 16:54:25;amarela;
2022-06-13 16:54:28;vermelha;
2022-06-13 16:56:36;verde;
2022-06-20 19:18:00;amarela;
2022-06-20 19:18:06;vermelha;
2022-06-20 19:18:08;verde;
2022-06-20 22:48:40;amarela;
2022-06-20 22:48:41;vermelha;
2022-06-29 12:14:55;verde;
2022-06-29 12:14:56;amarela;
